,appID,Score
210,239030,"(0.8683457879528931, 0.8155926994083074)"
211,239140,"(0.8911933039224332, 0.7391159202734179)"
212,239820,"(0.858098227915352, 0.8690877614217927)"
213,240,"(0.7976183310415701, 0.9033823285114752)"
214,24010,"(0.8830626618815569, 0.8999030094372287)"
215,240720,"(0.8325689687537284, 0.7767399732902946)"
216,241930,"(0.8901749271836388, 0.8366825063493074)"
217,24200,"(0.894385371104918, 0.9395906234699473)"
218,242050,"(0.8763523978118074, 0.8804073218778236)"
219,242760,"(0.821594942496229, 0.8898780053069618)"
220,242920,"(0.8725671235119862, 0.9069974747403872)"
221,244210,"(0.8322142764600524, 0.867699395918522)"
222,244450,"(0.9050538679947192, 0.8857626524384139)"
223,244850,"(0.8619668843270948, 0.879131795807071)"
224,245620,"(0.9117385461791143, 0.9161458826936085)"
225,246620,"(0.8700300343469202, 0.8785208145003793)"
226,246900,"(0.8248318710099782, 0.8984781147916531)"
227,24780,"(0.9068578363728056, 0.9107601484615849)"
228,24790,"(0.8925510162617772, 0.9116407193121455)"
229,24810,"(0.9045994733387794, 0.8778329722993513)"
230,248390,"(0.9037484630470883, 0.8879091137875694)"
231,250520,"(0.6803021815878938, 0.8641333739012352)"
232,250900,"(0.556233930754287, 0.9015977517223561)"
233,251060,"(0.8614101031137902, 0.8767937930485237)"
234,251570,"(0.8267528771770228, 0.8691858033684972)"
235,252490,"(0.8497158049327196, 0.800547992343357)"
236,252530,"(0.8873242001448401, 0.9161458138680931)"
237,252870,"(0.8686720467055145, 0.8971613450307898)"
238,252950,"(0.8840354933355273, 0.9263102929053425)"
239,253230,"(0.8808598195304949, 0.8919605449586784)"
240,253710,"(0.8412375768326336, 0.8883627599660291)"
241,253860,"(0.8664398631769132, 0.8833475651026051)"
242,253880,"(0.8805133647906946, 0.8604224569676273)"
243,253920,"(0.8822345876928769, 0.8855115081326753)"
244,253940,"(0.8698841672701937, 0.8778207041512291)"
245,253980,"(0.8643602830223593, 0.8820686321688396)"
246,254060,"(0.8750133715998978, 0.8857541008681239)"
247,254080,"(0.8582958259700999, 0.8775826883125555)"
248,254100,"(0.8769390579019902, 0.8651167872782003)"
249,254700,"(0.8395832609346213, 0.9117459707315895)"
250,255710,"(0.9039100825636547, 0.8695123116136119)"
251,257350,"(0.891500248514792, 0.8494179969275316)"
252,259360,"(0.8707683514603135, 0.8809031236844731)"
253,261550,"(0.8222104619853431, 0.7957339400487248)"
254,261640,"(0.8996709470056381, 0.8768988035786637)"
255,262060,"(0.8331993201414138, 0.8747298190795896)"
256,264480,"(0.7720343297856258, 0.8305797306913423)"
257,264710,"(0.8607277755571846, 0.9272493310312456)"
258,266840,"(0.8607889958531436, 0.9022227218150553)"
259,268400,"(0.8940202345392783, 0.8331806641251425)"
260,268500,"(0.884099225762799, 0.9165578206097285)"
261,268650,"(0.8638634832457364, 0.9254461713529654)"
262,268850,"(0.8736111979775976, 0.9137913962241201)"
263,268910,"(0.8329443431147858, 0.8499614087844674)"
264,269210,"(0.8519782845928862, 0.9453959008375438)"
265,269950,"(0.8785842372128315, 0.909159232560343)"
266,270880,"(0.8854100421165791, 0.8832305445200258)"
